season,team,opp,md,rest,opp_rest,rest_diff,resid
1516,Man City,Bournemouth,31,12.0,12.0,0.0,-0.6807473785454703
1516,Man City,West Brom,32,7.0,7.0,0.0,-0.5071169277650125
1516,Man City,Chelsea,33,7.0,7.0,0.0,0.5626693585013138
1516,Man City,Newcastle,34,3.0,3.0,0.0,-1.0964776264321843
1516,Man City,Stoke,35,3.0,4.0,-1.0,-0.47745253870705007
1516,Man City,Southampton,36,8.0,8.0,0.0,-0.23776005471779027
1516,Man City,Arsenal,37,6.0,7.0,-1.0,-0.5172850759277209
1516,Man City,Swansea,38,6.0,8.0,-2.0,0.40599815461011124
1516,Man United,Aston Villa,2,6.0,6.0,0.0,-0.5819550564165146
1516,Man United,Newcastle,3,7.0,6.0,1.0,-0.17364644744482827
1516,Man United,Swansea,4,8.0,8.0,0.0,0.10811268809743702
1516,Man United,Liverpool,5,13.0,14.0,-1.0,-0.2783626067998235
1516,Man United,Southampton,6,7.0,8.0,-1.0,0.6715380669183462
1516,Man United,Sunderland,7,5.0,7.0,-2.0,1.442830247317188
1516,Man United,Arsenal,8,8.0,8.0,0.0,0.2946979718715873
1516,Man United,Everton,9,12.0,13.0,-1.0,0.34918967167551673
1516,Man United,Man City,10,8.0,8.0,0.0,-0.6200462951650481
1516,Man United,Crystal Palace,11,6.0,7.0,-1.0,-0.7284652000014082
1516,Man United,West Brom,12,7.0,7.0,0.0,-0.7889399920858671
1516,Man United,Watford,13,13.0,13.0,0.0,0.2731605228625724
1516,Man United,Leicester,14,7.0,7.0,0.0,0.11147709903170577
1516,Man United,West Ham,15,6.0,6.0,0.0,0.3992721412035043
1516,Man United,Bournemouth,16,7.0,7.0,0.0,0.8558955852239636
1516,Man United,Norwich,17,6.0,7.0,-1.0,-0.4005850703736593
1516,Man United,Stoke,18,6.0,6.0,0.0,0.15211555307837954
1516,Man United,Chelsea,19,2.0,2.0,0.0,0.20600025013352985
1516,Man United,Swansea,20,4.0,5.0,-1.0,0.3062785507472181
1516,Man United,Newcastle,21,10.0,10.0,0.0,0.4393453999383179
1516,Man United,Liverpool,22,4.0,3.0,1.0,-0.08384165045498071
1516,Man United,Southampton,23,6.0,7.0,-1.0,-1.0126304468442178
1516,Man United,Stoke,24,10.0,10.0,0.0,1.0595519146320465
1516,Man United,Chelsea,25,4.0,3.0,1.0,-0.1553174859299713
1516,Man United,Sunderland,26,5.0,6.0,-1.0,-0.2790867611876966
1516,Man United,Arsenal,27,15.0,14.0,1.0,0.18297272410636045
1516,Man United,Watford,28,3.0,4.0,-1.0,-0.4745966846814087
1516,Man United,West Brom,29,3.0,4.0,-1.0,-0.6484352339305335
1516,Man United,Man City,30,14.0,8.0,6.0,0.07419688206724417
1516,Man United,Everton,31,13.0,15.0,-2.0,-0.38448917261898974
