season,player_code,role,dc,hit,mins,opp_str,own_str,conceded,is_home
2025-2026,201895,CB,18.0,1.0,90,1.241111111111111,1.0265625,1.0,True
2025-2026,199796,FB,8.0,0.0,90,1.0117021276595746,1.2532258064516129,1.0,False
2025-2026,200834,CB,19.0,1.0,90,1.241111111111111,1.0265625,1.0,True
2025-2026,487676,FB,12.0,1.0,90,1.241111111111111,1.0265625,1.0,True
2025-2026,199798,FB,10.0,1.0,90,1.0117021276595746,1.2532258064516129,1.0,False
2025-2026,462424,CB,17.0,1.0,90,1.8812337662337661,1.7187234042553192,1.0,True
2025-2026,477424,CB,20.0,1.0,90,1.6668918918918918,1.8621383647798742,1.0,False
2025-2026,472769,FB,11.0,1.0,86,1.6668918918918918,1.8621383647798742,1.0,False
2025-2026,171314,CB,7.0,0.0,90,1.6668918918918918,1.8621383647798742,1.0,False
2025-2026,445122,FB,11.0,1.0,79,1.8812337662337661,1.7187234042553192,1.0,True
2025-2026,466075,CB,11.0,1.0,90,1.8812337662337661,1.7187234042553192,1.0,True
2025-2026,226597,CB,9.0,0.0,90,1.8812337662337661,1.7187234042553192,1.0,True
2025-2026,17761,CB,16.0,1.0,90,1.6056953642384106,1.2333802816901407,2.0,False
2025-2026,512462,CB,2.0,0.0,90,1.6056953642384106,1.2333802816901407,2.0,False
2025-2026,224967,FB,9.0,0.0,85,1.6056953642384106,1.2333802816901407,2.0,False
2025-2026,492777,FB,6.0,0.0,90,1.2277852348993288,1.5653225806451612,1.0,True
2025-2026,544877,FB,11.0,1.0,90,1.2277852348993288,1.5653225806451612,1.0,True
2025-2026,204716,CB,13.0,1.0,90,1.2277852348993288,1.5653225806451612,1.0,True
2025-2026,97032,CB,13.0,1.0,90,1.2277852348993288,1.5653225806451612,1.0,True
2025-2026,106611,CB,14.0,1.0,90,1.6056953642384106,1.2333802816901407,2.0,False
2025-2026,78916,CB,20.0,1.0,90,1.6012587412587411,1.461830985915493,0.0,False
2025-2026,221466,CB,14.0,1.0,90,1.5206081081081082,1.598169014084507,0.0,True
2025-2026,220237,CB,16.0,1.0,90,1.6012587412587411,1.461830985915493,0.0,False
2025-2026,242882,CB,10.0,1.0,90,1.5206081081081082,1.598169014084507,0.0,True
2025-2026,494521,FB,15.0,1.0,90,1.5206081081081082,1.598169014084507,0.0,True
2025-2026,465642,CB,16.0,1.0,83,1.6012587412587411,1.461830985915493,0.0,False
2025-2026,441191,FB,8.0,0.0,90,1.6012587412587411,1.461830985915493,0.0,False
2025-2026,487838,FB,12.0,1.0,90,1.6012587412587411,1.461830985915493,0.0,False
2025-2026,478969,CB,11.0,1.0,90,1.1952777777777779,0.8541558441558441,1.0,True
2025-2026,494960,FB,5.0,0.0,90,1.1952777777777779,0.8541558441558441,1.0,True
2025-2026,215136,FB,11.0,1.0,90,0.8622666666666667,1.1928571428571428,1.0,False
2025-2026,227444,CB,10.0,1.0,90,0.8622666666666667,1.1928571428571428,1.0,False
2025-2026,485047,CB,12.0,1.0,90,0.8622666666666667,1.1928571428571428,1.0,False
2025-2026,477717,CB,16.0,1.0,90,1.1952777777777779,0.8541558441558441,1.0,True
2025-2026,58621,FB,16.0,1.0,90,1.1952777777777779,0.8541558441558441,1.0,True
2025-2026,174874,CB,18.0,1.0,90,1.565845070422535,1.270763358778626,1.0,True
2025-2026,232892,CB,14.0,1.0,90,1.565845070422535,1.270763358778626,1.0,True
2025-2026,167074,FB,12.0,1.0,90,1.565845070422535,1.270763358778626,1.0,True
2025-2026,607464,FB,9.0,0.0,90,1.2529139072847681,1.5833962264150943,3.0,False
2025-2026,432830,CB,9.0,0.0,90,1.2529139072847681,1.5833962264150943,3.0,False
2025-2026,444765,CB,9.0,0.0,90,1.2529139072847681,1.5833962264150943,3.0,False
2025-2026,249231,FB,2.0,0.0,65,1.2529139072847681,1.5833962264150943,3.0,False
2025-2026,221632,CB,22.0,1.0,90,1.4670422535211267,1.078201438848921,2.0,False
2025-2026,111478,CB,19.0,1.0,90,1.0653061224489795,1.5276335877862597,2.0,True
2025-2026,441164,FB,10.0,1.0,88,1.4670422535211267,1.078201438848921,2.0,False
2025-2026,231416,FB,10.0,1.0,84,1.0653061224489795,1.5276335877862597,2.0,True
2025-2026,487053,FB,13.0,1.0,90,1.4670422535211267,1.078201438848921,2.0,False
2025-2026,83299,CB,16.0,1.0,90,1.0653061224489795,1.5276335877862597,2.0,True
2025-2026,491279,CB,6.0,0.0,90,1.4670422535211267,1.078201438848921,2.0,False
2025-2026,469142,CB,13.0,1.0,90,1.0653061224489795,1.5276335877862597,2.0,True
2025-2026,244723,FB,11.0,1.0,90,1.238896551724138,1.561027397260274,1.0,False
